"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","KTOE","A","1960",4436.932,
"AUS","RENEWABLE","TOT","KTOE","A","1961",4490.51,
"AUS","RENEWABLE","TOT","KTOE","A","1962",4407.097,
"AUS","RENEWABLE","TOT","KTOE","A","1963",4628.738,
"AUS","RENEWABLE","TOT","KTOE","A","1964",4497.396,
"AUS","RENEWABLE","TOT","KTOE","A","1965",4716.131,
"AUS","RENEWABLE","TOT","KTOE","A","1966",4445.378,
"AUS","RENEWABLE","TOT","KTOE","A","1967",4574.63,
"AUS","RENEWABLE","TOT","KTOE","A","1968",4472.375,
"AUS","RENEWABLE","TOT","KTOE","A","1969",4525.867,
"AUS","RENEWABLE","TOT","KTOE","A","1970",4303.981,
"AUS","RENEWABLE","TOT","KTOE","A","1971",4553.489,
"AUS","RENEWABLE","TOT","KTOE","A","1972",4622.984,
"AUS","RENEWABLE","TOT","KTOE","A","1973",4508.661,
"AUS","RENEWABLE","TOT","KTOE","A","1974",4816.063,
"AUS","RENEWABLE","TOT","KTOE","A","1975",4962.457,
"AUS","RENEWABLE","TOT","KTOE","A","1976",5015.497,
"AUS","RENEWABLE","TOT","KTOE","A","1977",4853.343,
"AUS","RENEWABLE","TOT","KTOE","A","1978",4882.381,
"AUS","RENEWABLE","TOT","KTOE","A","1979",4880.427,
"AUS","RENEWABLE","TOT","KTOE","A","1980",4745.184,
"AUS","RENEWABLE","TOT","KTOE","A","1981",5062.69,
"AUS","RENEWABLE","TOT","KTOE","A","1982",5172.905,
"AUS","RENEWABLE","TOT","KTOE","A","1983",5005.976,
"AUS","RENEWABLE","TOT","KTOE","A","1984",4911.968,
"AUS","RENEWABLE","TOT","KTOE","A","1985",5165.209,
"AUS","RENEWABLE","TOT","KTOE","A","1986",4728.9,
"AUS","RENEWABLE","TOT","KTOE","A","1987",4700.334,
"AUS","RENEWABLE","TOT","KTOE","A","1988",4809.335,
"AUS","RENEWABLE","TOT","KTOE","A","1989",4981.233,
"AUS","RENEWABLE","TOT","KTOE","A","1990",5073.658,
"AUS","RENEWABLE","TOT","KTOE","A","1991",5192.295,
"AUS","RENEWABLE","TOT","KTOE","A","1992",4727.618,
"AUS","RENEWABLE","TOT","KTOE","A","1993",5482.017,
"AUS","RENEWABLE","TOT","KTOE","A","1994",5381.648,
"AUS","RENEWABLE","TOT","KTOE","A","1995",5530.849,
"AUS","RENEWABLE","TOT","KTOE","A","1996",6108.649,
"AUS","RENEWABLE","TOT","KTOE","A","1997",6398.393,
"AUS","RENEWABLE","TOT","KTOE","A","1998",6183.919,
"AUS","RENEWABLE","TOT","KTOE","A","1999",6268.567,
"AUS","RENEWABLE","TOT","KTOE","A","2000",6352.883,
"AUS","RENEWABLE","TOT","KTOE","A","2001",6477.826,
"AUS","RENEWABLE","TOT","KTOE","A","2002",6755.041,
"AUS","RENEWABLE","TOT","KTOE","A","2003",6625.788,
"AUS","RENEWABLE","TOT","KTOE","A","2004",6529.279,
"AUS","RENEWABLE","TOT","KTOE","A","2005",6461.722,
"AUS","RENEWABLE","TOT","KTOE","A","2006",6651.906,
"AUS","RENEWABLE","TOT","KTOE","A","2007",6874.019,
"AUS","RENEWABLE","TOT","KTOE","A","2008",7055.723,
"AUS","RENEWABLE","TOT","KTOE","A","2009",5581.787,
"AUS","RENEWABLE","TOT","KTOE","A","2010",7016.196,
"AUS","RENEWABLE","TOT","KTOE","A","2011",7060.477,
"AUS","RENEWABLE","TOT","KTOE","A","2012",7050.9,
"AUS","RENEWABLE","TOT","KTOE","A","2013",7876.557,
"AUS","RENEWABLE","TOT","KTOE","A","2014",8198.718,
"AUS","RENEWABLE","TOT","KTOE","A","2015",8196.553,
"AUS","RENEWABLE","TOT","KTOE","A","2016",8544.839,
"AUT","RENEWABLE","TOT","KTOE","A","1960",1750.228,
"AUT","RENEWABLE","TOT","KTOE","A","1961",1642.233,
"AUT","RENEWABLE","TOT","KTOE","A","1962",1685.592,
"AUT","RENEWABLE","TOT","KTOE","A","1963",1733.326,
"AUT","RENEWABLE","TOT","KTOE","A","1964",1695.127,
"AUT","RENEWABLE","TOT","KTOE","A","1965",1951.579,
"AUT","RENEWABLE","TOT","KTOE","A","1966",2154.894,
"AUT","RENEWABLE","TOT","KTOE","A","1967",2139.244,
"AUT","RENEWABLE","TOT","KTOE","A","1968",2132.281,
"AUT","RENEWABLE","TOT","KTOE","A","1969",2000.615,
"AUT","RENEWABLE","TOT","KTOE","A","1970",2453.307,
"AUT","RENEWABLE","TOT","KTOE","A","1971",2067.624,
"AUT","RENEWABLE","TOT","KTOE","A","1972",2088.126,
"AUT","RENEWABLE","TOT","KTOE","A","1973",2329.067,
"AUT","RENEWABLE","TOT","KTOE","A","1974",2608.936,
"AUT","RENEWABLE","TOT","KTOE","A","1975",2724.833,
"AUT","RENEWABLE","TOT","KTOE","A","1976",2444.1,
"AUT","RENEWABLE","TOT","KTOE","A","1977",2838.851,
"AUT","RENEWABLE","TOT","KTOE","A","1978",2948.436,
"AUT","RENEWABLE","TOT","KTOE","A","1979",3408.616,
"AUT","RENEWABLE","TOT","KTOE","A","1980",3607.444,
"AUT","RENEWABLE","TOT","KTOE","A","1981",3878.841,
"AUT","RENEWABLE","TOT","KTOE","A","1982",4031.541,
"AUT","RENEWABLE","TOT","KTOE","A","1983",4026.493,
"AUT","RENEWABLE","TOT","KTOE","A","1984",4111.207,
"AUT","RENEWABLE","TOT","KTOE","A","1985",4443.659,
"AUT","RENEWABLE","TOT","KTOE","A","1986",4718.876,
"AUT","RENEWABLE","TOT","KTOE","A","1987",5278.122,
"AUT","RENEWABLE","TOT","KTOE","A","1988",6233.458,
"AUT","RENEWABLE","TOT","KTOE","A","1989",5719.845,
"AUT","RENEWABLE","TOT","KTOE","A","1990",5037.746,
"AUT","RENEWABLE","TOT","KTOE","A","1991",5247.697,
"AUT","RENEWABLE","TOT","KTOE","A","1992",5489.606,
"AUT","RENEWABLE","TOT","KTOE","A","1993",5780.526,
"AUT","RENEWABLE","TOT","KTOE","A","1994",5607.538,
"AUT","RENEWABLE","TOT","KTOE","A","1995",5890.79,
"AUT","RENEWABLE","TOT","KTOE","A","1996",5839.294,
"AUT","RENEWABLE","TOT","KTOE","A","1997",5902.844,
"AUT","RENEWABLE","TOT","KTOE","A","1998",5944.726,
"AUT","RENEWABLE","TOT","KTOE","A","1999",6644.652,
"AUT","RENEWABLE","TOT","KTOE","A","2000",6574.092,
"AUT","RENEWABLE","TOT","KTOE","A","2001",6659.53,
"AUT","RENEWABLE","TOT","KTOE","A","2002",6482.028,
"AUT","RENEWABLE","TOT","KTOE","A","2003",6029.468,
"AUT","RENEWABLE","TOT","KTOE","A","2004",6450.235,
"AUT","RENEWABLE","TOT","KTOE","A","2005",7026.387,
"AUT","RENEWABLE","TOT","KTOE","A","2006",7373.512,
"AUT","RENEWABLE","TOT","KTOE","A","2007",7938.307,
"AUT","RENEWABLE","TOT","KTOE","A","2008",8359.355,
"AUT","RENEWABLE","TOT","KTOE","A","2009",8735.549,
"AUT","RENEWABLE","TOT","KTOE","A","2010",9108.052,
"AUT","RENEWABLE","TOT","KTOE","A","2011",8624.454,
"AUT","RENEWABLE","TOT","KTOE","A","2012",9722.004,
"AUT","RENEWABLE","TOT","KTOE","A","2013",9952.468,
"AUT","RENEWABLE","TOT","KTOE","A","2014",9603.204,
"AUT","RENEWABLE","TOT","KTOE","A","2015",9651.803,
"AUT","RENEWABLE","TOT","KTOE","A","2016",10007.608,
"BEL","RENEWABLE","TOT","KTOE","A","1960",14.792,
